id,who,text
1gkyebl,sam,"Four windows, one door, one staircase. That is a floor plan, not a fortress."
4z06ux,sam,"Up they get."
1ekjjhn,sam,"Company."
1woiyo5,sam,"Round two of infinity."
1fmaka8,sam,"Quiet. Suspiciously quiet."
18t1kp1,sam,"Board a window. Earn your keep."
8qobs5,sam,"At this point I am just curious how far this goes."
j87rqz,sam,"That is one."
lkwg73,sam,"Straight through."
o8o90q,sam,"You all lined up. That was polite of you."
1krxqcy,sam,"That is a lot of red. That is too much red."
19dcqpl,sam,"Fine. Fine. Walking it off."
1to11yn,sam,"There we go. Much better."
1cexpq9,sam,"Reloading, do not die."
12vzuu3,sam,"Give me a second — a real one."
1an3sjr,sam,"Click. Fantastic."
18jgj48,sam,"Personal space."
1w87aj6,sam,"Upgrade. About time."
1yh5fo8,sam,"Tastes like a battery. Worth it."
16vxtrf,sam,"A magic box. Sure. Why not."
11c3imp,sam,"Oh, I am keeping this."
rckish,sam,"Door is open. Try to look pleased."
1476cd8,sam,"Power. Now the interesting things work."
ii5c7h,sam,"Grenade out!"
vefgar,sam,"Big one. Armoured. Wonderful."
sjkl53,sam,"And that is why we aim low."
17uyqop,sam,"That is several people who have stopped being several people."
jjjixt,sam,"Something just landed and it was not a plane."
259wdl,sam,"The rock rebuilt it. I am not going to argue with the rock."
uw7j8f,sam,"A workbench. Finally, someone who thinks ahead."
167uahs,sam,"Ten seconds head start. Use every one."
vn9d4v,sam,"Low one! Watch your feet."
2xg793,sam,"It spits. Move sideways, not backwards."
jma4r5,sam,"Well. That is that, then."
b3jutj,sam,"He got so close. That is the part I hate."
1lrc7c2,chrissy,"I hid for two days. I am not hiding tonight."
3i7g1g,chrissy,"I have hunted before. This is not that. But it is closer than nothing."
1trkpc3,chrissy,"Dad taught me to wait for the shot. I am going to wait for the shot."
1xwdnjf,chrissy,"They are coming."
1o5228m,chrissy,"Okay. Okay, here."
1jthjld,chrissy,"Ready. I am ready."
1wcjpal,chrissy,"It stopped. It actually stopped."
ouugw1,chrissy,"Reload while it is quiet. He always said that."
tzwg82,chrissy,"I have lasted longer than I thought I would."
19mhmnn,chrissy,"Got it. I got it."
1n29j53,chrissy,"One shot. Like he taught me."
gq59g2,chrissy,"Right there."
1b7a474,chrissy,"All of them — I got all of them!"
9axcii,chrissy,"I cannot — I cannot take another one."
1o7w4ll,chrissy,"Please. Please, not yet."
yi0w9w,chrissy,"Okay. I am okay. I am okay."
uwjyx5,chrissy,"Reloading! Do not let them in!"
1bx9ff,chrissy,"Empty — cover me!"
zygxu3,chrissy,"No, no, no, not now!"
ty8x5h,chrissy,"Back off!"
ikd100,chrissy,"This is heavier than the rifle at home."
1w70fn7,chrissy,"That was disgusting. Do I feel different?"
ldbo6p,chrissy,"It is glowing. Things that glow have not helped so far."
fhlseh,chrissy,"Oh — oh, this is good, this is really good."
k0pkn8,chrissy,"It is open. I do not like what is behind it."
ij91x9,chrissy,"The lights came on. I forgot what that looked like."
rankdc,chrissy,"Throwing! Get down!"
1adymcl,chrissy,"That one is huge. That one is really huge."
cen1bf,chrissy,"It fell. It actually fell."
146o6x,chrissy,"That was people. That was people once."
d960dn,chrissy,"Something fell out of the sky. I felt it in the floor."
u5jwo4,chrissy,"My gun is warm. It should not be warm."
1pe0rh8,chrissy,"I can fix it here? Show me. Show me how."
hxmu9j,chrissy,"Go now — go, go, go!"
1jkij0h,chrissy,"On the ground! It is on the ground!"
e6w7su,chrissy,"It spat at me! What is that, what is that?"
1nm3b8g,chrissy,"Dad. I tried."
i9dfzk,chrissy,"He was coming for us. Somebody was actually coming for us."
1qpbs6b,rebecca,"I have never lost a fight I understood. Let me understand this one."
a5yhv4,rebecca,"Footwork first. Everything else is footwork."
12kc431,rebecca,"Do not stand still and do not get surrounded. That is the whole sport."
1f3tral,rebecca,"Round starts. Move your feet."
linw0d,rebecca,"Up we go."
1aykju9,rebecca,"Corner. Breathe. Reload."
mh96a8,rebecca,"Good round. Next one is harder."
mjdqos,rebecca,"This is the round where people get tired and stop moving. Do not."
1grmwsu,rebecca,"First one."
v888b,rebecca,"Head shot. Lights out."
mst6dq,rebecca,"Straight down the middle."
vy7quz,rebecca,"Four. That is a combination."
1mzgeaz,rebecca,"I have been hurt worse in a ring with a referee."
pvhvxq,rebecca,"Get up. Get up."
bfxnsx,rebecca,"Back in it."
yvxhkt,rebecca,"Reloading — hold the line."
jtfoy4,rebecca,"Two seconds. Cover."
1yiwmr4,rebecca,"Dry. Working on it."
190eo,rebecca,"Come on then."
f212a5,rebecca,"Heavier. Good."
imkgjh,rebecca,"Every fighter has something in the bottle. This one is honest about it."
1x7pyaq,rebecca,"A box that hands out weapons. Every gym has a superstition."
17c6w7w,rebecca,"Now we are talking."
1re4yny,rebecca,"Door is open. New ground, same rules."
1uz8myz,rebecca,"Lights up. Everybody can see everybody now."
1k6de78,rebecca,"Grenade — clear out!"
155g11v,rebecca,"Big, slow, armoured. I have fought this exact man."
1pjffhd,rebecca,"And he goes down like all of them."
1a5p37j,rebecca,"That is not one opponent. Do not treat it like one."
7oj574,rebecca,"Something landed hard enough to move the floor."
1tpkzra,rebecca,"It kicks worse and it hits harder. Fair trade."
wmdmvj,rebecca,"Tape your hands, check your gear. Same thing."
1disj2i,rebecca,"Ten seconds. Get to open ground."
1orj2g,rebecca,"Low! Watch the low one!"
u9a6pz,rebecca,"Ranged. Break the line of sight."
fs2w9c,rebecca,"Beaten. Fairly, even."
wvoewf,rebecca,"He was in the air. He was in the air and they still got him."
966cx9,hank,"Point me at it."
15g20q2,hank,"Good. A small room and a lot of them. That suits me."
13p6qad,hank,"You lot stay behind me. There is a lot of me."
g4o3b6,hank,"Come on then!"
wvrcdv,hank,"More of you. Good."
1dnu1px,hank,"That is it? Already?"
9xtbmc,hank,"Load up. I am not tired."
3207yh,hank,"This is the best night I have had in years."
pihibd,hank,"],
      headshot: ["
1nxbulu,hank,"Head off."
1ilbw97,hank,"All of you! All of you at once!"
1wpquw5,hank,"That actually hurt. That one actually hurt."
16ligi,hank,"Not done. Not nearly done."
1bwnwqn,hank,"Right. Better."
94advo,hank,"Reloading! Hold them off me!"
dyr0vk,hank,"Empty — busy!"
n7kuuj,hank,"Out! Out!"
1ie52eg,hank,"Fine. Hands it is."
zmn4g9,hank,"Heavy. I like heavy."
u52a4m,hank,"Tastes like a fight. Good."
1608h88,hank,"Give me something big."
1qn9xhj,hank,"Ha! Look at it!"
1bj0iqx,hank,"Door is down. Move up."
ypqvr2,hank,"Lights! Now I can see what I am hitting!"
mwgk41,hank,"Grenade! Down!"
1dloiij,hank,"Finally. Something my size."
eq4b6n,hank,"Down you go. Big lad."
h8nsqp,hank,"That is a lot of arms for one thing."
okpapb,hank,"Something hit the field. Felt it in my boots."
phsdrd,hank,"It is heavier and it is hotter. Perfect."
nj2s26,hank,"I break them, I might as well learn to mend them."
1sfuiv2,hank,"Ten seconds! Run!"
1m4qgpr,hank,"On the deck! Stamp on it!"
1rax84q,hank,"It is spitting! Do not stand there!"
ahudnt,hank,"Ah. Should have ducked."
1jcu7sk,hank,"He came for us. Nobody comes for us. And look."
pmzgua,frank,"I walked through a door in a field and it was a hundred years later. So be it."
bsvpvp,frank,"I do not know the year and I do not know the enemy. I know the work."
1ugu083,frank,"The coat has been through one war already. It will manage another."
rex5p9,frank,"They come."
w8m4nr,frank,"Steady now."
8opk6d,frank,"Again they come."
75jlzu,frank,"Quiet. Load the piece."
1riozxp,frank,"Rest a moment. Only a moment."
1oozuz0,frank,"I have stood a long night before. This one is longer."
18t9c4l,frank,"One is finished."
bcb70n,frank,"Through the head. It is the only kindness left."
hsotso,frank,"Straight and true."
1c3gmp5,frank,"Several at once. The line broke."
1ut2cim,frank,"I have bled more than this and walked further."
2hg7ck,frank,"Not here. Not in a strange year."
e5ncws,frank,"The bleeding has stopped. Good."
1h5vvhu,frank,"Charging the piece! Hold!"
k83e1j,frank,"A moment — I am loading."
1idjssa,frank,"Empty. Empty and they still come."
oo4ppq,frank,"Then we do it close."
b1y48c,frank,"A strange rifle. It will speak the same language."
k58peq,frank,"Medicine, they call it. Very well."
mdoqg0,frank,"A chest that gives up a weapon. There are stories about chests."
1myx3vn,frank,"Now this is a good gun. I can feel it."
1v4v18q,frank,"The door is open. Beyond is more of the same."
cbwjfq,frank,"Light without fire. I will never be used to it."
1e1ipmr,frank,"Shell away! Down!"
1qilz43,frank,"That one wears iron. Find where the iron ends."
13tami,frank,"It has fallen. Iron and all."
1yai750,frank,"That is more than one soul in one body. That is wrong."
whg9qs,frank,"A star came down. I have seen a star come down before."
tlwgs1,frank,"The stone has changed the gun. I will not ask how."
jura9p,frank,"A bench and tools. A man can mend his own things. Good."
v2nrpn,frank,"Ten seconds of grace. Take the ground."
1kt7fuz,frank,"It crawls. It does not stop."
1m2mvcl,frank,"It throws poison! Stand aside!"
1870e7p,frank,"A hundred years for this. Well."
1wasy4l,frank,"A machine that flies, and they pulled it down. Even here."
1xqvulk,chris,"I have modelled this. The model says run. I am overruling the model."
1jdifqi,chris,"Four ingress points, one chokepoint, one elevated position. This is survivable."
b3q9fg,chris,"They come in waves, which means they have a scheduler. Everything with a scheduler has a flaw."
dapat9,chris,"Wave incoming. Expect roughly a third more than last time."
1yx0v9h,chris,"They are up."
1ednno4,chris,"Next iteration."
1ddhs3p,chris,"Wave cleared. Use the interval — the interval is the only free thing here."
83uqlb,chris,"Reload now. The cost of reloading later is much higher."
1qcs9mr,chris,"The difficulty curve is superlinear. At some point it wins. Not yet."
grstxu,chris,"One removed."
2sjmps,chris,"Cranial. Three times the damage for the same round."
192bf4c,chris,"The head is worth aiming at. The maths is not close."
13442kx,chris,"Four in one burst. That is efficient."
1742090,chris,"Twenty-five health. That is one more contact. Exactly one."
mx1cgg,chris,"I would like to revise my earlier estimate."
yi3o14,chris,"Regenerating. Do not spend it immediately."
s2160v,chris,"Reloading — I am briefly useless."
ibhavp,chris,"Magazine change. Cover the interval."
10jerno,chris,"Empty. Entirely predictable and I still did it."
7rrgzz,chris,"Suboptimal. Doing it anyway."
1vecs0f,chris,"Better damage per second. Marginally worse handling. Net positive."
mv1oor,chris,"I have no idea what is in this and I drank all of it."
6vgteu,chris,"A random weapon dispenser. The expected value is genuinely good."
mt5xt5,chris,"Oh, that is well above the mean."
1d9xjyu,chris,"Door open. The map just got larger and so did the problem."
19j6vnd,chris,"Power restored. Everything that was decorative is now functional."
1kaxrlw,chris,"Grenade — mind the radius!"
tz5s6l,chris,"Heavily armoured. The armour is not everywhere. Find the gap."
1ac0221,chris,"Down. That took more ammunition than it should have."
1h7stql,chris,"That is multiple bodies sharing a nervous system. I would love an hour with it."
1c5cojj,chris,"Impact, outside, roughly a hundred metres. Nothing we launched."
kqd3pe,chris,"It has restructured the metal. I can see the grain and it is wrong."
1qoectq,chris,"Attachments. Now the numbers become interesting."
cq81n,chris,"Ten seconds of invulnerability. Convert it into distance."
10z7ytm,chris,"Low profile — your sights are above it."
1x2fgmr,chris,"Ranged acid. Break line of sight, it cannot lead a target."
1557do7,chris,"I did the sums. The sums were right. I was still here."
rkfmt6,chris,"He had the altitude. He had everything. And a biological threw acid at an aircraft."
r57vij,remi,"Marvellous. A small room, poor lighting, and an audience."
1tdoyal,remi,"I want it on record that I asked to be posted somewhere warm."
my7qkd,remi,"They are slow, they are stupid, and there are thousands. Two out of three is not bad."
oj430l,remi,"Curtain up."
4d4155,remi,"Ah — the guests."
1vc8g7p,remi,"And here they are, right on time, as ever."
yj3p53,remi,"A pause! How generous of them."
pqxfvu,remi,"Reload, darling. The next act is bigger."
1l0kqf4,remi,"I have outlived my own funeral arrangements at this point."
cekspz,remi,"One! Only a great many left."
12ykzue,remi,"Oh, that was lovely."
1hif0bj,remi,"Straight through the thinking part."
hqfjwe,remi,"A group booking! Delightful."
14i7sp7,remi,"This is the bit where I make a joke and it does not help."
dbje23,remi,"I am fine. I am very obviously not fine."
1ncbetu,remi,"Better! Mostly better. Better-ish."
14inzzd,remi,"Reloading — do entertain them for me."
z8azrf,remi,"Empty! Terribly sorry!"
181k1x6,remi,"Click. The saddest sound in the world."
19pdhsq,remi,"Very well — the personal touch."
u1bvst,remi,"Ooh. Heavier than it looks and twice as rude."
amu1l7,remi,"I have drunk worse in nicer rooms."
1ed6nq2,remi,"A box that gives you a gun. Do not think about it. I am thinking about it."
n3h99l,remi,"Oh, you beautiful thing. Come here."
rhqj3v,remi,"A door! And behind it, more of the same, I expect."
nkhysy,remi,"Light! Now we can all see how bad this is."
usb1wo,remi,"Present for you!"
toqxeq,remi,"Oh, they have sent the big one. I feel quite flattered."
173356p,remi,"Timber."
ba6vwz,remi,"That is several people who have had a dreadful committee meeting."
1m1lxg7,remi,"Something has fallen out of the sky. I refuse to be surprised."
1y5aqqc,remi,"The rock has improved my gun and I am choosing not to think about the rest."
17wpsty,remi,"A workbench! I shall be insufferable about this."
1yb8064,remi,"Ten seconds! Do run, it is undignified but effective."
1ta0h2q,remi,"It has lost its legs and gained enthusiasm."
700ik0,remi,"It spits! Rude, and also corrosive!"
x6b3fj,remi,"Ah. Well. It was going so well."
1dpf7wz,remi,"He was in the air. Actually airborne. And they spat him out of the sky."
lyf55r,rodriguez,"You picked right."
x31qg6,rodriguez,"Small room, bad odds, no way out. My kind of night."
mmfqtr,rodriguez,"Stay near me and stay behind me. In that order."
17i2a9b,rodriguez,"Let us go."
16w5h5x,rodriguez,"Bring it."
1o7vdb5,rodriguez,"Up and at them."
1250l3e,rodriguez,"Too easy. Say it with me."
1pii97v,rodriguez,"Reload. Look impressive doing it."
19nbc99,rodriguez,"At this point they are just sending them to watch."
wm5wq0,rodriguez,"That is one for me."
91i53f,rodriguez,"Boom. Right there."
1jgmwjo,rodriguez,"Head shot. Naturally."
dtvay8,rodriguez,"All of you! Every one of you!"
pu5ytn,rodriguez,"Alright — alright, that one landed."
swoblj,rodriguez,"Still standing. Watch me."
ppz4d8,rodriguez,"Yeah. Back."
7q5z5z,rodriguez,"Reloading — buy me a second!"
1ay2mz0,rodriguez,"Dry! Hold them!"
2df440,rodriguez,"Empty! Come on!"
1lh2pql,rodriguez,"Alright. Close."
qi7ucp,rodriguez,"Now this is a gun."
1fc304s,rodriguez,"Whatever is in this, give me two."
9fkrtd,rodriguez,"Alright, box. Impress me."
1o8y57i,rodriguez,"Yes! Yes, that is the one!"
tf4e1z,rodriguez,"Door is open. Follow me."
1pin2fh,rodriguez,"Lights on. Let them see who did this."
muvka,rodriguez,"Grenade — heads down!"
tczs1d,rodriguez,"Big one. Good. I was getting bored."
l72z1g,rodriguez,"And down goes the big one."
ndepx7,rodriguez,"That thing is wearing four people. Still going down."
4p9ug,rodriguez,"Something big just hit the field."
1o8v3u0,rodriguez,"The rock made it meaner. So did I."
8ygc3v,rodriguez,"Give me ten minutes with this and a screwdriver."
ywlbu2,rodriguez,"Ten seconds — move!"
1jizydj,rodriguez,"Low one, low one!"
y2zvv4,rodriguez,"It spits acid! Do not eat it!"
1bvfwf,rodriguez,"No. Not like this."
1me9gvt,rodriguez,"He was up there. He was actually up there."
ueebtu,radio,"Bunker Nine, we have something inbound and it is not ours."
uo5dq0,patch,"It is not theirs either by the look of it."
cpqes6,patch,"It took the round. It did not mind the round."
mo80wn,patch,"That is more than one of them."
sp86s0,radio,"Say again, Bunker Nine."
1rmoio8,patch,"I said it is more than one of them and they have stopped arguing about it."
1v4thie,radio,"Good evening, Bunker Nine. Lights out on the whole coast except you."
1w04o89,patch,"Then somebody should tell whatever is out in that fog to stop knocking."
1i5mxyk,radio,"Board the windows, corporal. The dead do love a draught."
v5uz2s,patch,"That one stopped. The rest of you take notes."
1ais583,radio,"More of them coming down the hill. I count... plenty."
1vygvnc,patch,"Reload, breathe. Same song, louder verse."
nllxeh,radio,"They remember this place, you know. They just do not remember why."
2qjzx9,patch,"Boards will not hold forever. Good thing neither will they."
19oloel,radio,"The generator hums, the moths are drawn. Do keep the noise up."
hq3eph,patch,"Running dry. Chalk says the wall sells courage at five hundred a box."
12kxyiq,patch,"Eight hundred a minute says nothing else gets through that window."
1l2e4w5,patch,"Both barrels. Subtlety went out with the lights."
odvkqx,patch,"Nine millimetre, thirty in the box, and it does not climb. Take it."
p3fnd3,radio,"That one was not here yesterday, corporal. Do not think about that."
dvj9wg,patch,"Whoever built this was not trying to kill anything. They were trying to hold it still."
wp2kxz,radio,"Ten seconds of current. Ten seconds is a long time up here."
17o97tg,patch,"Both hands on it. Five seconds. Do not let go."
1s52pzo,radio,"Turn it, corporal. Turn it and do not look at the window."
1fll56p,patch,"Generator is up. Bunker Nine has a heartbeat again."
18nofg0,radio,"Warm light in the window. That is how they will find you, corporal."
se4bvj,radio,"Ah, the supply crate. Property of no army that admits to it."
1xb68eq,patch,"This is not standard issue. This is not any issue."
mz6mjk,patch,"He gave me more than it was worth. That is somehow worse."
408mkl,patch,"That was robbery and he knows it."
kmnpgb,radio,"Whatever is behind that counter has stopped pretending to be a shopkeeper."
1r3fe62,patch,"The door just shut behind me."
o86f0c,radio,"Then whatever is down there wants a word. There is a counter. Do not put your hands on it."
139x7rn,radio,"Movement on the stair. Heavy. Slow. Not stopping."
1usl2x8,patch,"That is a lot of man behind a lot of plastic."
221lxs,radio,"He cannot hold that shield up forever. Nobody can."
11ya9ch,patch,"He was still holding it. Four chambers, and every one of them a mistake for whoever is stood behind the first."
xh0yr7,patch,"A Mauser. Somebody brought this a long way to end up down here."
cq6cv0,patch,"There is a plate on the east wall with three lamps on it. One of them has just come on."
14d6lgm,radio,"Then two of them have not. Whatever it is counting, it wants all three."
kiypo6,patch,"Two lamps. Same plate."
1i6hua1,radio,"One to go, Bunker Nine. Keep doing whatever it is you have been doing."
1lsfhkg,patch,"Something just came out of the east wall. A belt line."
10ctqt4,radio,"Feeding what, exactly."
3e9pa9,patch,"Gold. They were casting rounds in gold down here."
zu2bpq,radio,"Somebody was very sure the ordinary kind would not be enough."
asq2t,radio,"And the lightning takes the whole choir at once. Marvelous."
14o8s8a,patch,"Still here. Angrier, but still here."
he7etc,exit42,"Hello? Hello — is somebody there? Please say somebody is there."
8g7akj,radio,"Bunker Nine, that is not my traffic. Somebody has found a live set."
yuagpk,exit42,"My name is — they called me Exit Four Two. I am in an aircraft. I do not fly aircraft."
agamyf,exit42,"That — was that it? That is what it is meant to sound like?"
ip8y26,exit42,"Alright. Alright. It is turning. It is actually turning."
1o039e9,exit42,"I heard three. Three is all of them, is it? Tell me three is all of them."
4lixwo,radio,"Three is all of them, son."
1eft4q4,exit42,"Bearing. Bearing, yes. I am writing it on my hand."
1a9pk5n,exit42,"I can see your lights. I can see them from here. I am coming."
frdx6x,radio,"Bunker Nine — get off the roof."
1gcuvsr,exit42,"Wheels down in ninety seconds. Ninety seconds and we are all going home."
57kc98,exit42,"Something hit the — the glass, something is on the glass, it is coming THROUGH the—"
19625h4,radio,"Exit Four Two. Exit Four Two, pull up."
1gm73w7,radio,"Exit Four Two is down. Exit Four Two is down in the trees."
1lc9gp7,radio,"...Bunker Nine, take what he brought and hold your post."
y98e7i,stalker,"You board the windows. Good. They come through the windows."
142pk9u,stalker,"The rock is not from here. Neither am I. Do not touch it barehanded."
17rbvui,stalker,"I counted them tonight. There are more than there were."
xq2jiv,stalker,"The one with four arms. Leave it to the gun on the roof."
x22q0,stalker,"You are lasting longer than the last one. Do not let that comfort you."
gd7ptk,radio,"Rest now, Bunker Nine. I will keep a light on for the next one."
1sr9rbu,common,"Here they come."
61vzyc,common,"Clear. For now."
frr1fq,common,"Reloading!"
1qth8iw,common,"Empty!"
cz04q0,common,"Head shot."
18vpblm,common,"One down."
